"","elements_number","y_component_number","vector_length","temporary_size","load_overlap","threads_number","lws_y","time_per_pixel","row_number","measurement_order","experiment_id","slowdown","method"
"290",6,6,1,2,1,256,1,1.18202032710546e-10,19283,52,290,1.01459821609115,"GPR"
"291",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,80,291,1.0761594320093,"GPR"
"292",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,83,292,1.0761594320093,"GPR"
"293",6,6,1,2,1,1024,1,1.28669181117226e-10,19807,91,293,1.10444396457321,"GPR"
"294",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,40,294,1.03091776073943,"GPR"
"295",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,113,295,1.07835653189674,"GPR"
"296",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,75,296,1.03091776073943,"GPR"
"297",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,111,297,1.0761594320093,"GPR"
"298",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,46,298,1.0761594320093,"GPR"
"299",6,6,1,4,1,128,1,1.21238783742256e-10,9680,12,299,1.04066445293017,"GPR"
"300",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,72,300,1.03091776073943,"GPR"
"301",24,6,4,2,1,128,1,1.43447381217966e-10,22487,83,301,1.2312940289538,"GPR"
"302",6,6,1,4,1,1024,8,1.20545060937111e-10,17594,77,302,1.0347098182727,"GPR"
"303",6,6,1,2,2,128,1,1.18258966570151e-10,16588,63,303,1.01508691320631,"GPR"
"304",3,3,1,2,1,512,16,1.38451288126442e-10,3007,1,304,1.18840959607354,"GPR"
"305",6,6,1,4,1,1024,2,1.18717485534039e-10,15493,22,305,1.01902265366809,"GPR"
"306",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,105,306,1.02697620634826,"GPR"
"307",6,6,1,4,1,1024,8,1.20545060937111e-10,17594,51,307,1.0347098182727,"GPR"
"308",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,97,308,1.0761594320093,"GPR"
"309",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,74,309,1.04732094092038,"GPR"
"310",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,111,310,1.04732094092038,"GPR"
"311",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,54,311,1.00979555916616,"GPR"
"312",6,6,1,2,2,256,1,1.17919974204394e-10,17258,117,312,1.01217714049192,"GPR"
"313",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,75,313,1.01488180994275,"GPR"
"314",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,61,314,1.0761594320093,"GPR"
"315",6,6,1,2,2,128,1,1.18258966570151e-10,16588,38,315,1.01508691320631,"GPR"
"316",6,6,1,2,1,1024,1,1.28669181117226e-10,19807,97,316,1.10444396457321,"GPR"
"317",6,6,1,2,2,256,1,1.17919974204394e-10,17258,96,317,1.01217714049192,"GPR"
"318",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,37,318,1.0511551928136,"GPR"
"319",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,2,319,1.01488180994275,"GPR"
"320",6,6,1,4,1,256,1,1.19886821794317e-10,8697,99,320,1.02905976095368,"GPR"
"321",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,91,321,1.0761594320093,"GPR"
"322",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,91,322,1.0761594320093,"GPR"
"323",5,5,1,2,1,1024,8,1.22360757184054e-10,9325,10,323,1.05029501702832,"GPR"
"324",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,56,324,1.04732094092038,"GPR"
"325",6,6,1,4,1,128,1,1.21238783742256e-10,9680,113,325,1.04066445293017,"GPR"
"326",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,111,326,1.02697620634826,"GPR"
